"Language code","Title","Short description","Full description"
"tr-TR","Türkçe Sözlük","25 dilde! Eş anlamlı, fiil, deyim ve quizlerle kelime dağarcığını geliştir!","📚 Türkçe Sözlük — kapsamlı Türkçe kelime dağarcığı uygulaması! Öğrenciler, yazarlar ve Türkçe öğrenenler için. 25 dilde arayüz. ✨ ÖZELLİKLER 🔍 Çoklu sözlük modları: eş anlamlılar, fiiller, isimler, deyimler, sıfatlar ve karma mod 🔎 Akıllı arama, öneriler, sesli arama ve TDK Güncel Türkçe Sözlük online sorgulama ⭐ Favoriler ve öğrenme kartları ➕ Kendi kelimelerinizi ekleyin 🎯 Quiz modu ve istatistikler 📅 Günün kelimesi — isteğe bağlı bildirim 🌍 25 dilde arayüz; Türk dilleri dahil 🎨 Modern arayüz: yan menü, sağ üstte açık/koyu tema 📊 Profilde istatistikler ve seri takibi 🔒 Gizlilik: kişisel veri yok, uygulama içi gizlilik politikası 25 dilde, yalnızca yerel depolama 💯 Tamamen ücretsiz, reklamsız Hemen indirin ve kelime haznenizi geliştirin! 🚀"
"az-AZ","Türkcə Lüğət","25 dildə! Sinonim, feil, deyim və viktorinalarla lüğətinizi genişləndirin!","📚 Türkcə Lüğət — tələbələr, yazarlar və Türk dili öyrənənlər üçün hərtərəfli lüğət tətbiqi. 25 dildə interfeys. ✨ XÜSUSİYYƏTLƏR 🔍 Çoxlu lüğət rejimləri: sinonimlər, feillər, isimlər, deyimlər, sifətlər və qarışıq rejim 🔎 Ağıllı axtarış, təkliflər, səsli axtarış və TDK Güncel Türkçe Sözlük onlayn sorğusu ⭐ Seçilmişlər və öyrənmə kartları ➕ Öz sözlərinizi əlavə edin 🎯 Viktorina rejimi və statistika 📅 Günün sözü — ixtiyari bildiriş 🌍 25 dildə interfeys; türk dilləri daxil 🎨 Müasir interfeys: yan menyu, sağ yuxarıda açıq/tünd tema 📊 Profildə statistika və seriya izləmə 🔒 Məxfilik: şəxsi məlumat yoxdur, tətbiqdaxili məxfilik siyasəti 25 dildə, yalnız yerli saxlama 💯 Tamamilə pulsuz, reklamsız İndi endirin və lüğətinizi genişləndirin! 🚀"
"kk","Түрік тілінің сөздігі","25 тілде! Синонимдер, етістіктер, мақал-мәтелдер мен викторина арқылы!","📚 Түрік тілінің сөздігі — студенттер, жазушылар және түрік тілін үйренушілерге арналған кешенді сөздік қосымшасы. 25 тілде интерфейс. ✨ МҮМКІНДІКТЕР 🔍 Бірнеше сөздік режимі: синонимдер, етістіктер, зат есімдер, мақал-мәтелдер, сын есімдер және аралас режим 🔎 Ақылды іздеу, ұсыныстар, дауыс арқылы іздеу және TDK Güncel Türkçe Sözlük онлайн сұрау ⭐ Таңдаулылар және оқу карточкалары ➕ Өз сөздеріңізді қосыңыз 🎯 Викторина режимі және статистика 📅 Күннің сөзі — міндетті емес хабарландыру 🌍 25 тілде интерфейс; тürk тілдері қоса 🎨 Заманауи интерфейс: бүйір меню, оң жоғарыда ашық/қараңғы тема 📊 Профильде статистика және серия бақылау 🔒 Құпиялылық: жеке деректер жиналмайды, қосымшадағы саясат 25 тілде, тек жергілікті сақтау 💯 Толығымен тегін, жарнамасыз Қазір жүктеп, сөз қорыңызды кеңейтіңіз! 🚀"
"ky-KG","Түркчө Сөздүк","25 тилде! Синонимдер, этиштер, макал-лакаптар жана викторина менен!","📚 Түркчө Сөздүк — студенттер, жазуучулар жана түрк тилин үйрөнүүчүлөр үчүн кеңири сөздүк тиркемеси. 25 тилде интерфейс. ✨ МҮМКҮНЧҮЛҮКТӨР 🔍 Бир нече сөздүк режими: синонимдер, этиштер, зат атоочтор, макал-лакаптар, сын ат атоочтор жана аралаш режим 🔎 Акылдуу издөө, сунуштар, үн менен издөө жана TDK Güncel Türkçe Sözlük онлайн суроо ⭐ Тандалгандар жана окуу карталары ➕ Өз сөздөрүңүздү кошуңуз 🎯 Викторина режими жана статистика 📅 Күнүн сөзү — милдеттүү эмес эскертме 🌍 25 тилде интерфейс; тürk тилдери кошумча 🎨 Заманбап интерфейс: бок меню, оң жогоруда ачык/караңгы тема 📊 Профилде статистика жана серия көзөмөл 🔒 Купуялык: жеке маалымат жок, тиркемедеги саясат 25 тилде, жергиликтүү сактоо гана 💯 Акысыз, жарнамасыз Азыр жүктөп, сөз байлыгыңызды кеңейттиңиз! 🚀"
"en-US","Turkish Dictionary","In 25 languages! Build vocabulary with synonyms, verbs, idioms & quizzes!","📚 Turkish Dictionary — a comprehensive Turkish vocabulary app for students, writers and Turkish learners. Interface available in 25 languages. ✨ FEATURES 🔍 Multiple dictionary modes: synonyms, verbs, nouns, idioms, adjectives and mixed mode 🔎 Smart search with suggestions, voice search and TDK Güncel Türkçe Sözlük online lookup ⭐ Favorites and learning flashcards ➕ Add your own words 🎯 Quiz mode with statistics 📅 Word of the day with optional notification 🌍 UI in 25 languages, including Turkic languages 🎨 Modern UI: side menu navigation, light/dark theme toggle top-right 📊 Stats and streak tracking on your profile 🔒 Privacy: no personal data collected, in-app privacy policy in 25 languages, local storage only 💯 Completely free, no ads Download now and expand your vocabulary! 🚀"
"zh-CN","土耳其语词典","25种语言！同义词、动词、习语和测验，全面提升土耳其语词汇量！","📚 土耳其语词典 — 面向学生、写作者和土耳其语学习者的全面词汇应用。界面支持25种语言。 ✨ 功能 🔍 多种词典模式：同义词、动词、名词、习语、形容词和混合模式 🔎 智能搜索、建议、语音搜索及 TDK Güncel Türkçe Sözlük 在线查询 ⭐ 收藏与学习闪卡 ➕ 添加自定义词汇 🎯 测验模式与统计数据 📅 每日一词，可选通知 🌍 25种语言界面，含突厥语族语言 🎨 现代界面：侧边菜单，右上角浅色/深色主题切换 📊 个人资料中的统计与连续记录 🔒 隐私：不收集个人数据，应用内隐私政策25种语言，仅本地存储 💯 完全免费，无广告 立即下载，扩展您的词汇量！🚀"
"hi-IN","तुर्की शब्दकोश","25 भाषाओं में! पर्याय, क्रिया, मुहावरे और क्विज़ से शब्दावली बढ़ाएँ!","📚 तुर्की शब्दकोश — छात्रों, लेखकों और तुर्की सीखने वालों के लिए व्यापक शब्दावली ऐप। 25 भाषाओं में इंटरफ़ेस। ✨ विशेषताएँ 🔍 कई शब्दकोश मोड: पर्याय, क्रियाएँ, संज्ञाएँ, मुहावरे, विशेषण और मिश्रित मोड 🔎 स्मार्ट खोज, सुझाव, वॉइस खोज और TDK Güncel Türkçe Sözlük ऑनलाइन लुकअप ⭐ पसंदीदा और सीखने के फ़्लैशकार्ड ➕ अपने शब्द जोड़ें 🎯 क्विज़ मोड और आँकड़े 📅 दिन का शब्द — वैकल्पिक सूचना 🌍 25 भाषाओं में UI; तुर्क भाषाएँ सहित 🎨 आधुनिक UI: साइड मेनू, ऊपर दाएँ लाइट/डार्क थीम 📊 प्रोफ़ाइल में आँकड़े और स्ट्रीक 🔒 गोपनीयता: कोई व्यक्तिगत डेटा नहीं, ऐप में नीति 25 भाषाओं में, केवल स्थानीय संग्रहण 💯 पूरी तरह मुफ़्त, बिना विज्ञापन अभी डाउनलोड करें और शब्दावली बढ़ाएँ! 🚀"
"es-ES","Diccionario turco","¡En 25 idiomas! Mejora vocabulario con sinónimos, verbos, modismos y quiz!","📚 Diccionario turco — aplicación integral de vocabulario turco para estudiantes, escritores y aprendices. Interfaz en 25 idiomas. ✨ CARACTERÍSTICAS 🔍 Varios modos de diccionario: sinónimos, verbos, sustantivos, modismos, adjetivos y modo mixto 🔎 Búsqueda inteligente con sugerencias, búsqueda por voz y consulta en línea TDK Güncel Türkçe Sözlük ⭐ Favoritos y tarjetas de aprendizaje ➕ Añade tus propias palabras 🎯 Modo quiz con estadísticas 📅 Palabra del día con notificación opcional 🌍 Interfaz en 25 idiomas, incluidas lenguas túrquicas 🎨 Interfaz moderna: menú lateral, tema claro/oscuro arriba a la derecha 📊 Estadísticas y racha en el perfil 🔒 Privacidad: sin datos personales, política en la app en 25 idiomas, solo almacenamiento local 💯 Totalmente gratis, sin anuncios ¡Descarga ahora y amplía tu vocabulario! 🚀"
"fr-FR","Dictionnaire turc","En 25 langues ! Enrichissez votre vocabulaire : synonymes, verbes, quiz !","📚 Dictionnaire turc — application complète de vocabulaire turc pour étudiants, écrivains et apprenants. Interface en 25 langues. ✨ FONCTIONNALITÉS 🔍 Modes dictionnaire multiples : synonymes, verbes, noms, expressions, adjectifs et mode mixte 🔎 Recherche intelligente avec suggestions, recherche vocale et consultation en ligne TDK Güncel Türkçe Sözlük ⭐ Favoris et cartes d'apprentissage ➕ Ajoutez vos propres mots 🎯 Mode quiz avec statistiques 📅 Mot du jour avec notification optionnelle 🌍 Interface en 25 langues, y compris les langues turques 🎨 Interface moderne : menu latéral, thème clair/sombre en haut à droite 📊 Statistiques et série dans le profil 🔒 Confidentialité : aucune donnée personnelle, politique intégrée en 25 langues, stockage local uniquement 💯 Entièrement gratuit, sans publicité Téléchargez maintenant et enrichissez votre vocabulaire ! 🚀"
"ar","قاموس التركية","بـ25 لغة! عزّز مفرداتك بالمرادفات والأفعال والاصطلاحات والاختبارات!","📚 قاموس التركية — تطبيق شامل لمفردات اللغة التركية للطلاب والكتاب ومتعلمي التركية. واجهة بـ25 لغة. ✨ الميزات 🔍 أوضاع قاموس متعددة: مرادفات، أفعال، أسماء، اصطلاحات، صفات ووضع مختلط 🔎 بحث ذكي مع اقتراحات، بحث صوتي واستعلام عبر TDK Güncel Türkçe Sözlük على الإنترنت ⭐ المفضلة وبطاقات التعلم ➕ أضف كلماتك الخاصة 🎯 وضع الاختبار مع إحصائيات 📅 كلمة اليوم مع إشعار اختياري 🌍 واجهة بـ25 لغة، بما فيها اللغات التركية 🎨 واجهة عصرية: قائمة جانبية، تبديل الوضع الفاتح/الداكن أعلى اليمين 📊 إحصائيات وسلسلة في الملف الشخصي 🔒 الخصوصية: لا بيانات شخصية، سياسة خصوصية داخل التطبيق بـ25 لغة، تخزين محلي فقط 💯 مجاني بالكامل، بدون إعلانات حمّل الآن ووسّع مفرداتك! 🚀"
